X,Y,F11,F12,F21,F22
6.66667,6.66667,18.8618,6.53727,-0.0841018,1.34964
X,Y,F11,F12,F21,F22
20,6.66667,25.0853,10.7021,0.118505,1.0935
X,Y,F11,F12,F21,F22
33.3333,6.66667,37.3663,21.2135,-0.0700302,1.04854
X,Y,F11,F12,F21,F22
46.6667,6.66667,46.8826,26.1607,-0.0739821,0.667627
X,Y,F11,F12,F21,F22
60,6.66667,53.8206,35.0073,-0.00512116,1.17261
X,Y,F11,F12,F21,F22
73.3333,6.66667,50.5086,39.0899,-0.121052,0.84361
X,Y,F11,F12,F21,F22
86.6667,6.66667,57.315,22.0921,0.31407,1.05315
X,Y,F11,F12,F21,F22
6.66667,20,16.2998,10.8005,0.35695,0.923117
X,Y,F11,F12,F21,F22
20,20,3.84829,11.9744,-0.880345,0.603877
X,Y,F11,F12,F21,F22
33.3333,20,29.2506,9.33515,0.604712,0.64988
X,Y,F11,F12,F21,F22
46.6667,20,35.4176,27.6442,-0.444147,1.61641
X,Y,F11,F12,F21,F22
60,20,43.8956,55.7772,0.712661,1.31489
X,Y,F11,F12,F21,F22
73.3333,20,103.461,43.9043,0.251666,1.33217
X,Y,F11,F12,F21,F22
86.6667,20,58.1646,17.4147,-0.132157,0.791502
X,Y,F11,F12,F21,F22
6.66667,33.3333,28.9207,-1.94667,-0.27108,1.17116
X,Y,F11,F12,F21,F22
20,33.3333,67.5526,13.0131,0.485903,0.499808
X,Y,F11,F12,F21,F22
33.3333,33.3333,-20.2041,-7.21449,0.234999,-0.329
X,Y,F11,F12,F21,F22
46.6667,33.3333,23.3287,-9.19579,-0.0223505,1.25295
X,Y,F11,F12,F21,F22
60,33.3333,94.6828,30.0822,-0.0282868,-0.0739544
X,Y,F11,F12,F21,F22
73.3333,33.3333,23.8123,22.589,-0.876636,-0.552877
X,Y,F11,F12,F21,F22
86.6667,33.3333,76.2924,1.99745,-0.928331,0.797246
X,Y,F11,F12,F21,F22
6.66667,46.6667,17.1542,-2.86917,-0.23252,0.874185
X,Y,F11,F12,F21,F22
20,46.6667,35.5514,6.36862,-0.143117,1.2101
X,Y,F11,F12,F21,F22
33.3333,46.6667,53.5502,2.07528,-0.0163998,1.10221
X,Y,F11,F12,F21,F22
46.6667,46.6667,70.7908,-29.3818,2.02048,-1.59563
X,Y,F11,F12,F21,F22
60,46.6667,-4.9705,3.22839,-0.751813,2.47527
X,Y,F11,F12,F21,F22
73.3333,46.6667,5.41811,8.32858,1.04244,1.1686
X,Y,F11,F12,F21,F22
86.6667,46.6667,60.4237,1.81052,0.0338567,1.07677
X,Y,F11,F12,F21,F22
6.66667,60,26.2956,-2.9638,-0.324115,1.02225
X,Y,F11,F12,F21,F22
20,60,2.36603,2.5524,0.28514,0.924606
X,Y,F11,F12,F21,F22
33.3333,60,34.7132,-1.80896,1.13905,1.22604
X,Y,F11,F12,F21,F22
46.6667,60,9.59772,9.17024,0.301361,0.555876
X,Y,F11,F12,F21,F22
60,60,-77.6063,67.9163,0.799964,0.0993121
X,Y,F11,F12,F21,F22
73.3333,60,66.6988,-33.8935,0.0409384,0.988321
X,Y,F11,F12,F21,F22
86.6667,60,-13.0059,-2.86028,0.00807851,1.54153
X,Y,F11,F12,F21,F22
6.66667,73.3333,16.6614,-3.01269,-0.00422928,1.13233
X,Y,F11,F12,F21,F22
20,73.3333,21.2452,26.1773,0.318154,0.861433
X,Y,F11,F12,F21,F22
33.3333,73.3333,35.889,11.0983,1.00235,1.97498
X,Y,F11,F12,F21,F22
46.6667,73.3333,46.2781,-35.6445,0.0392596,-0.57219
X,Y,F11,F12,F21,F22
60,73.3333,45.669,-57.2738,-0.491141,1.02862
X,Y,F11,F12,F21,F22
73.3333,73.3333,-10.2447,32.5043,0.0820737,2.39309
X,Y,F11,F12,F21,F22
86.6667,73.3333,56.2628,-13.1711,-0.865086,1.27663
X,Y,F11,F12,F21,F22
6.66667,86.6667,24.9458,-6.16413,0.713613,1.37564
X,Y,F11,F12,F21,F22
20,86.6667,26.9734,-9.75122,0.381996,1.05912
X,Y,F11,F12,F21,F22
33.3333,86.6667,41.4472,6.73278,0.274767,1.09151
X,Y,F11,F12,F21,F22
46.6667,86.6667,23.2386,-31.3283,-0.0152084,0.976987
X,Y,F11,F12,F21,F22
60,86.6667,58.9317,-13.854,-0.516269,1.38151
X,Y,F11,F12,F21,F22
73.3333,86.6667,46.3152,-10.9961,-0.420811,0.880943
X,Y,F11,F12,F21,F22
86.6667,86.6667,48.4367,-4.75381,0.399598,0.42806
