X,Y,F11,F12,F21,F22
6.66667,6.66667,13.1841,6.61442,0.00291532,0.998936
X,Y,F11,F12,F21,F22
20,6.66667,19.9751,15.5763,-0.00233769,1.01049
X,Y,F11,F12,F21,F22
33.3333,6.66667,28.9111,20.6748,0.0082689,1.01542
X,Y,F11,F12,F21,F22
46.6667,6.66667,38.84,22.0282,-0.00391286,1.01607
X,Y,F11,F12,F21,F22
60,6.66667,48.0734,21.7557,0.00174634,1.01528
X,Y,F11,F12,F21,F22
73.3333,6.66667,57.4732,18.563,0.000384899,1.00861
X,Y,F11,F12,F21,F22
86.6667,6.66667,65.5309,12.2652,0.00078422,1.01393
X,Y,F11,F12,F21,F22
6.66667,20,21.5823,3.3386,0.00406101,0.993872
X,Y,F11,F12,F21,F22
20,20,26.0323,9.10736,0.0221176,0.997264
X,Y,F11,F12,F21,F22
33.3333,20,31.95,12.6291,0.010399,1.02746
X,Y,F11,F12,F21,F22
46.6667,20,39.6232,13.048,-0.00393143,0.994841
X,Y,F11,F12,F21,F22
60,20,46.9382,12.5755,0.0194853,0.973462
X,Y,F11,F12,F21,F22
73.3333,20,52.2262,10.0753,-0.0244474,1.00234
X,Y,F11,F12,F21,F22
86.6667,20,59.1235,6.73869,-0.00992424,0.999526
X,Y,F11,F12,F21,F22
6.66667,33.3333,26.2373,2.0938,0.00752233,1.00448
X,Y,F11,F12,F21,F22
20,33.3333,29.0775,4.45154,0.00871334,0.993593
X,Y,F11,F12,F21,F22
33.3333,33.3333,33.4786,5.09826,-0.00873142,0.949
X,Y,F11,F12,F21,F22
46.6667,33.3333,39.1314,7.94575,-0.00528165,0.991106
X,Y,F11,F12,F21,F22
60,33.3333,45.734,7.48003,-0.0185193,0.979403
X,Y,F11,F12,F21,F22
73.3333,33.3333,51.5598,4.7491,0.00362668,1.00476
X,Y,F11,F12,F21,F22
86.6667,33.3333,55.3002,3.64303,-0.0101314,1.01855
X,Y,F11,F12,F21,F22
6.66667,46.6667,28.1391,0.273975,-0.00160035,1.00312
X,Y,F11,F12,F21,F22
20,46.6667,31.1085,0.0364205,-0.0032723,1.0258
X,Y,F11,F12,F21,F22
33.3333,46.6667,34.5152,0.516423,0.0125132,0.985163
X,Y,F11,F12,F21,F22
46.6667,46.6667,39.9112,0.0711985,0.00886369,0.992603
X,Y,F11,F12,F21,F22
60,46.6667,45.4026,1.6175,-0.00753456,0.984583
X,Y,F11,F12,F21,F22
73.3333,46.6667,48.9218,1.46655,-0.0072249,1.0357
X,Y,F11,F12,F21,F22
86.6667,46.6667,52.1111,0.126887,-0.0122909,1.00805
X,Y,F11,F12,F21,F22
6.66667,60,27.4943,-0.782973,-0.00693863,1.01082
X,Y,F11,F12,F21,F22
20,60,30.1374,-2.84878,0.00650762,0.989907
X,Y,F11,F12,F21,F22
33.3333,60,35.6301,-3.37808,0.00525421,1.0359
X,Y,F11,F12,F21,F22
46.6667,60,39.5031,-3.8789,0.00755948,0.963158
X,Y,F11,F12,F21,F22
60,60,45.7793,-3.98393,-0.014673,0.998863
X,Y,F11,F12,F21,F22
73.3333,60,51.6639,-3.62548,0.020236,1.00157
X,Y,F11,F12,F21,F22
86.6667,60,53.3719,-1.90613,-0.0113223,0.989595
X,Y,F11,F12,F21,F22
6.66667,73.3333,24.8058,-2.39933,0.00214352,0.995895
X,Y,F11,F12,F21,F22
20,73.3333,27.6164,-6.65,0.00423614,1.01057
X,Y,F11,F12,F21,F22
33.3333,73.3333,33.7394,-8.79058,0.0121208,1.00251
X,Y,F11,F12,F21,F22
46.6667,73.3333,38.915,-10.9574,0.0230397,1.00184
X,Y,F11,F12,F21,F22
60,73.3333,44.8882,-10.2177,0.0368546,1.0153
X,Y,F11,F12,F21,F22
73.3333,73.3333,50.8885,-8.30445,0.0318622,0.983154
X,Y,F11,F12,F21,F22
86.6667,73.3333,55.8807,-4.58218,-0.00537031,1.01191
X,Y,F11,F12,F21,F22
6.66667,86.6667,17.9641,-4.90937,0.00833431,1.00386
X,Y,F11,F12,F21,F22
20,86.6667,23.5034,-11.49,0.00977695,1.02538
X,Y,F11,F12,F21,F22
33.3333,86.6667,31.4608,-15.7515,-0.0173851,1.01192
X,Y,F11,F12,F21,F22
46.6667,86.6667,38.5447,-18.546,-0.008495,1.0026
X,Y,F11,F12,F21,F22
60,86.6667,47.3833,-18.4134,0.0107766,0.988846
X,Y,F11,F12,F21,F22
73.3333,86.6667,54.7078,-13.8337,-0.00906507,0.993086
X,Y,F11,F12,F21,F22
86.6667,86.6667,62.0709,-8.75464,-0.00203487,0.980868
