leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
20.0851,6.67777,151.926,6.70693,107.035,11.6853,40.8908,1.69591
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
207.013,6.70783,406.763,6.68445,367.196,11.7448,211.432,1.63989
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
492.232,6.6369,781.343,6.71959,723.533,11.7791,516.785,1.62494
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
891.273,6.67778,1279.67,6.63866,1181.42,11.7967,961.14,1.63604
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
1424.5,6.62681,1905.23,6.64427,1758.93,11.7897,1541.37,1.63686
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
2081.5,6.67951,2656.23,6.68336,2448.25,11.7308,2262.62,1.64464
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
2861.56,6.69398,3516.87,6.70182,3239.74,11.7841,3117.09,1.64477
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
36.6708,20.0197,252.493,20.0603,157.046,24.9593,123.66,15.0206
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
336.924,20.054,597.247,20.2752,494.986,25.0262,403.913,15.0536
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
691.721,20.0978,1011.22,20.2018,897.766,25.2389,771.475,14.9643
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
1130.38,20.1789,1526.61,20.1396,1374.09,25.1337,1243.61,15.1853
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
1666.49,19.9879,2135.87,20.1827,1943.74,24.9028,1817.99,15.1682
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
2298.24,20.1631,2820.5,19.9187,2594.85,25.0757,2494.1,15.0523
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
3005.22,20.1372,3596.45,20.038,3331.7,25.0986,3264.31,15.1033
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
44.7009,33.3598,307.074,33.435,184.643,38.2566,163.705,28.2119
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
399.144,33.3005,689.919,33.3876,563.569,38.3534,519.054,28.4174
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
794.57,33.5877,1129.36,33.5004,977.254,38.2164,926.271,28.7264
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
1261.15,33.4614,1652.46,33.4085,1480.55,38.2571,1401.09,28.346
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
1788.61,33.595,2245.95,33.4098,2048.73,38.215,1973.93,28.421
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
2402.1,33.3714,2917.7,33.4076,2673.69,38.4422,2626.2,28.3946
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
3090.78,33.533,3643.78,33.4317,3380.3,38.4632,3343.87,28.2777
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
48.7401,46.6988,330.132,46.6828,187.696,51.6252,184.956,41.5941
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
423.296,46.8132,734.38,46.7804,571.771,51.8757,571.407,41.6176
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
843.401,46.63,1188.55,46.7551,1010.3,51.8064,1005.13,41.9548
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
1308.24,46.6403,1707.35,46.729,1505.87,51.5685,1505.16,41.6425
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
1839.07,46.7882,2293.1,46.7128,2075.17,51.6138,2059,41.768
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
2454.12,46.8442,2943.33,46.772,2701.33,51.9272,2686.67,41.5702
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
3129.36,46.7858,3650.47,46.6629,3386.02,51.906,3384.75,41.8255
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
47.205,60.0007,322.148,59.9313,179.418,65.073,187.248,54.9647
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
417.874,60.0975,719.249,60.1625,545.196,65.0219,573.684,55.1228
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
812.939,60.1149,1169.24,60.1675,972.626,65.1893,1006.41,54.8303
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
1297.94,59.9539,1692.97,60.0295,1458.8,64.6652,1497.59,55.0336
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
1831.6,60.1557,2289.39,60.009,2028.74,65.0239,2068.58,55.0352
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
2432.23,59.9344,2948.87,60.1368,2659.5,65.2973,2695.76,55.2816
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
3116.07,60.2013,3649.79,60.0881,3364.28,65.0767,3383.34,55.1808
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
41.7674,73.3258,289.825,73.3472,149.715,78.3337,173.708,68.3748
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
370.618,73.4611,646.782,73.5035,471.478,78.4931,537.978,68.3875
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
747.18,73.3507,1084.57,73.4719,868.09,78.3628,955.996,68.3377
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
1209.66,73.0947,1598.81,73.3251,1336.18,78.3679,1445.76,68.3495
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
1747.9,73.2764,2196.79,73.6449,1909.9,78.5738,2012.08,68.4208
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
2368.51,73.3244,2877.4,73.643,2570.34,78.3667,2653.39,68.5351
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
3063.1,73.4667,3621.9,73.413,3313.63,78.5961,3359.45,68.477
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
29.4149,86.7136,209.056,86.797,90.318,91.7432,139.412,81.7045
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
281.215,86.6906,516.249,86.7884,325.55,91.7263,440.45,81.4725
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
603.121,86.8704,917.73,86.6965,664.847,91.7138,822.361,81.5946
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
1031.94,86.7359,1417.39,86.651,1117.93,91.7357,1303.39,81.7097
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
1564.21,86.6528,2038.04,86.7606,1693.51,91.6755,1877.65,81.7871
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
2205.36,86.7851,2752.44,86.6944,2396.55,91.6185,2534.89,81.6876
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
2943.18,86.7227,3563.88,86.7024,3199.85,91.7195,3287.39,81.9108
