X,Y,F11,F12,F21,F22
0.333333,0.333333,1.33342,0.645954,0.503402,1.00154
X,Y,F11,F12,F21,F22
0.466667,0.333333,1.37068,0.662189,0.499804,1.00506
X,Y,F11,F12,F21,F22
0.6,0.333333,1.43504,0.698789,0.496982,0.99655
X,Y,F11,F12,F21,F22
0.733333,0.333333,1.48644,0.724538,0.501019,1.00219
X,Y,F11,F12,F21,F22
0.333333,0.466667,1.34534,0.636681,0.498357,1.00362
X,Y,F11,F12,F21,F22
0.466667,0.466667,1.38603,0.654754,0.50178,1.00652
X,Y,F11,F12,F21,F22
0.6,0.466667,1.43796,0.679954,0.497092,1.0016
X,Y,F11,F12,F21,F22
0.733333,0.466667,1.48129,0.71301,0.496882,1.00085
X,Y,F11,F12,F21,F22
0.333333,0.6,1.33577,0.602619,0.49346,1.00036
X,Y,F11,F12,F21,F22
0.466667,0.6,1.39126,0.617789,0.496614,0.993302
X,Y,F11,F12,F21,F22
0.6,0.6,1.43974,0.642372,0.504379,0.999895
X,Y,F11,F12,F21,F22
0.733333,0.6,1.48297,0.685029,0.495619,0.996688
X,Y,F11,F12,F21,F22
0.333333,0.733333,1.32379,0.554718,0.50973,1.00487
X,Y,F11,F12,F21,F22
0.466667,0.733333,1.3855,0.580902,0.499159,1.00009
X,Y,F11,F12,F21,F22
0.6,0.733333,1.44523,0.607972,0.503409,1.00387
X,Y,F11,F12,F21,F22
0.733333,0.733333,1.49612,0.651955,0.499801,0.998657
