X,Y,F11,F12,F21,F22
0.0666667,0.0666667,1.12132,0.075463,-0.0350832,0.936363
X,Y,F11,F12,F21,F22
0.2,0.0666667,1.19951,0.155214,-0.0021806,0.894128
X,Y,F11,F12,F21,F22
0.333333,0.0666667,1.29458,0.209623,-0.0149989,0.881619
X,Y,F11,F12,F21,F22
0.466667,0.0666667,1.3743,0.232429,-0.00391337,0.869937
X,Y,F11,F12,F21,F22
0.6,0.0666667,1.49117,0.20159,-0.00206171,0.863945
X,Y,F11,F12,F21,F22
0.733333,0.0666667,1.55262,0.177319,0.0141175,0.884406
X,Y,F11,F12,F21,F22
0.866667,0.0666667,1.67071,0.108502,0.0270945,0.911051
X,Y,F11,F12,F21,F22
0.0666667,0.2,1.20479,0.0260028,-0.0606609,0.886418
X,Y,F11,F12,F21,F22
0.2,0.2,1.24449,0.0636091,-0.0546835,0.859175
X,Y,F11,F12,F21,F22
0.333333,0.2,1.29964,0.113298,-0.0398248,0.837674
X,Y,F11,F12,F21,F22
0.466667,0.2,1.3537,0.0825474,-0.00761243,0.859514
X,Y,F11,F12,F21,F22
0.6,0.2,1.46824,0.151087,0.0132578,0.852154
X,Y,F11,F12,F21,F22
0.733333,0.2,1.54518,0.122207,0.0247996,0.869391
X,Y,F11,F12,F21,F22
0.866667,0.2,1.62405,0.0565593,0.0627863,0.883374
X,Y,F11,F12,F21,F22
0.0666667,0.333333,1.27731,0.0364344,-0.0984955,0.862312
X,Y,F11,F12,F21,F22
0.2,0.333333,1.28953,-0.00136976,-0.0465248,0.848442
X,Y,F11,F12,F21,F22
0.333333,0.333333,1.32112,0.049078,-0.0381757,0.830655
X,Y,F11,F12,F21,F22
0.466667,0.333333,1.35533,0.0875947,0.0170393,0.844515
X,Y,F11,F12,F21,F22
0.6,0.333333,1.4847,0.125695,0.0518889,0.827767
X,Y,F11,F12,F21,F22
0.733333,0.333333,1.452,0.0294785,0.0320489,0.832162
X,Y,F11,F12,F21,F22
0.866667,0.333333,1.52741,0.0289215,0.0821765,0.852662
X,Y,F11,F12,F21,F22
0.0666667,0.466667,1.24083,-0.00607309,-0.120556,0.810915
X,Y,F11,F12,F21,F22
0.2,0.466667,1.31766,-0.00160342,-0.0587231,0.817524
X,Y,F11,F12,F21,F22
0.333333,0.466667,1.3456,-0.0299433,-0.0472008,0.834421
X,Y,F11,F12,F21,F22
0.466667,0.466667,1.42236,0.0354157,-0.0284907,0.783014
X,Y,F11,F12,F21,F22
0.6,0.466667,1.47053,-0.0268432,0.0107047,0.780584
X,Y,F11,F12,F21,F22
0.733333,0.466667,1.47419,-0.0179757,0.0489998,0.848049
X,Y,F11,F12,F21,F22
0.866667,0.466667,1.50563,0.0462032,0.0877633,0.812029
X,Y,F11,F12,F21,F22
0.0666667,0.6,1.28993,0.00312077,-0.111554,0.7681
X,Y,F11,F12,F21,F22
0.2,0.6,1.28524,-0.0100027,-0.07822,0.768774
X,Y,F11,F12,F21,F22
0.333333,0.6,1.33805,-0.0229596,-0.0153589,0.759482
X,Y,F11,F12,F21,F22
0.466667,0.6,1.36355,-0.0681985,0.00669274,0.780354
X,Y,F11,F12,F21,F22
0.6,0.6,1.43883,0.00121474,0.000191427,0.758559
X,Y,F11,F12,F21,F22
0.733333,0.6,1.46887,-0.000832371,0.0356088,0.784251
X,Y,F11,F12,F21,F22
0.866667,0.6,1.5123,-0.00457285,0.0883872,0.758543
X,Y,F11,F12,F21,F22
0.0666667,0.733333,1.25972,-0.0507105,-0.0931282,0.722786
X,Y,F11,F12,F21,F22
0.2,0.733333,1.27448,-0.0561846,-0.0543227,0.729968
X,Y,F11,F12,F21,F22
0.333333,0.733333,1.32325,-0.0934333,-0.03478,0.759856
X,Y,F11,F12,F21,F22
0.466667,0.733333,1.37351,-0.101115,-0.00304984,0.777632
X,Y,F11,F12,F21,F22
0.6,0.733333,1.47799,-0.129292,0.0301741,0.77644
X,Y,F11,F12,F21,F22
0.733333,0.733333,1.5362,-0.0746698,0.0613744,0.754512
X,Y,F11,F12,F21,F22
0.866667,0.733333,1.53821,-0.0624399,0.0886842,0.74346
X,Y,F11,F12,F21,F22
0.0666667,0.866667,1.17626,-0.0519518,-0.0611429,0.674186
X,Y,F11,F12,F21,F22
0.2,0.866667,1.23322,-0.127508,-0.0282171,0.723032
X,Y,F11,F12,F21,F22
0.333333,0.866667,1.28691,-0.120675,-0.00783666,0.733128
X,Y,F11,F12,F21,F22
0.466667,0.866667,1.39113,-0.167641,0.0052181,0.734188
X,Y,F11,F12,F21,F22
0.6,0.866667,1.48516,-0.159024,-0.0115231,0.745594
X,Y,F11,F12,F21,F22
0.733333,0.866667,1.56428,-0.135296,0.0307778,0.74939
X,Y,F11,F12,F21,F22
0.866667,0.866667,1.56867,-0.0744247,0.0565207,0.704977
