leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.0683915,0.0665742,0.0798036,0.065972,0.0733941,0.0709637,0.0734122,0.0621939
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.220779,0.066818,0.234099,0.0662897,0.22742,0.0725392,0.226024,0.0611947
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.385973,0.0668276,0.401015,0.0665719,0.392787,0.0714533,0.391647,0.0601565
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.561558,0.0660397,0.576169,0.0657791,0.570162,0.0727221,0.567981,0.0607286
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.750903,0.0668191,0.768253,0.0678098,0.762343,0.072042,0.760475,0.0621329
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.95646,0.0663971,0.967767,0.067325,0.963455,0.0715707,0.95798,0.0616477
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
1.16874,0.0670522,1.18192,0.0663952,1.17508,0.070949,1.17551,0.0610317
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.0744879,0.199578,0.0870275,0.199999,0.0814703,0.205247,0.0802075,0.195355
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.23619,0.200822,0.249959,0.198596,0.244475,0.205025,0.240529,0.196375
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.408056,0.2009,0.42189,0.198722,0.413776,0.203497,0.411447,0.194436
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.58635,0.200229,0.59986,0.200644,0.592207,0.205071,0.595106,0.195111
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.778936,0.200351,0.791974,0.199045,0.785533,0.204652,0.784284,0.196428
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.974805,0.200303,0.990809,0.198377,0.980421,0.20531,0.978218,0.19565
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
1.18037,0.20086,1.1959,0.199608,1.19033,0.204977,1.18855,0.193583
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.0768707,0.333334,0.0922402,0.334089,0.0835576,0.336393,0.0831336,0.328923
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.2478,0.3305,0.260033,0.33491,0.254836,0.338623,0.250428,0.328566
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.418064,0.33304,0.432994,0.33172,0.425207,0.337272,0.425045,0.32851
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.601186,0.333982,0.614004,0.331935,0.607445,0.339846,0.602358,0.328488
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.786957,0.335039,0.801136,0.334339,0.798542,0.33835,0.794507,0.330522
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.986618,0.333014,1.00142,0.334534,0.992919,0.337948,0.995042,0.33104
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
1.18686,0.335092,1.20314,0.333463,1.19517,0.336719,1.19797,0.329426
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.0780761,0.466707,0.0929829,0.467124,0.0849297,0.470256,0.0838233,0.461304
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.24891,0.467891,0.261861,0.466493,0.255095,0.471154,0.256336,0.462182
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.422979,0.465665,0.436911,0.467773,0.428354,0.474356,0.428991,0.460246
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.605327,0.468738,0.619341,0.467329,0.61095,0.472676,0.610762,0.462194
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.793287,0.466784,0.808346,0.469089,0.800066,0.471703,0.799525,0.459883
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.989953,0.466583,0.999772,0.464687,0.996157,0.472562,0.992563,0.46345
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
1.191,0.467444,1.2044,0.466668,1.19711,0.470405,1.19806,0.460584
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
