leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.103994,0.332835,0.774947,0.331091,0.42982,0.581446,0.395246,0.0826922
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.272732,0.332535,0.967573,0.333352,0.610358,0.584464,0.572552,0.0830891
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.450392,0.334045,1.17046,0.33456,0.800639,0.586249,0.763176,0.0828652
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.630193,0.332564,1.3746,0.333685,0.996185,0.584822,0.966662,0.0832182
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.105726,0.467,0.775297,0.46651,0.423787,0.715968,0.416797,0.217142
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.278595,0.466882,0.97206,0.469042,0.603478,0.718173,0.593878,0.215504
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.452795,0.465256,1.17099,0.46817,0.79086,0.719692,0.785122,0.215368
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.634711,0.466347,1.37475,0.46712,0.988852,0.716525,0.983038,0.217297
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.104839,0.599693,0.771355,0.601616,0.407261,0.849874,0.428537,0.348657
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.278457,0.599128,0.972594,0.602551,0.587165,0.850959,0.61162,0.350268
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.451497,0.59963,1.17089,0.60112,0.775747,0.850166,0.797283,0.351111
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.632466,0.600696,1.37479,0.600402,0.976014,0.851272,0.991249,0.350001
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.104276,0.733403,0.767204,0.73172,0.381839,0.983409,0.432651,0.48267
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.271626,0.734095,0.962657,0.733276,0.558756,0.983598,0.613481,0.485091
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.443449,0.735281,1.16553,0.733629,0.748561,0.983797,0.803533,0.484333
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.627062,0.732403,1.37393,0.733704,0.952394,0.983736,0.998335,0.48391
